"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A2ML1",192.794492889082,0.797138135297823,0.181825391454801,4.38408590197359,1.16473809500137e-05,0.000178349494053348
"A4GALT",191.550507556466,1.09356742338867,0.230447397246281,4.74541017367169,2.08084240997479e-06,5.16358071403231e-05
"AANAT",30.8551675793206,0.919394936646171,0.194253047954499,4.73297560232633,2.21252092306858e-06,5.3437671638029e-05
"AARD",27.7497184668039,-0.699754542817063,0.220257798259968,-3.17697964996068,0.00148817477909376,0.00689264909950147
"ABCC12",177.370594062878,-0.865520064934789,0.251569895621344,-3.44047550998529,0.000580692986255791,0.00332943934791972
"ABCC2",26.1856351539288,0.79246926246536,0.215678232631207,3.67431266844819,0.000238490544092295,0.00168182695156739
"ABCD2",422.833389486327,-0.639120235372343,0.184786426986856,-3.45869686315113,0.0005427954374917,0.00318320085895928
"ABI3",132.932423947057,0.90264140553219,0.236497469561644,3.81670639946071,0.000135244944187887,0.00110896781844139
"ACKR3",412.445203873671,0.627856762023227,0.195157490629143,3.21717992990769,0.00129457382743885,0.00617510578101491
"ACOT6",10.5150246142188,0.651060685389889,0.23600455381687,2.75867848675109,0.00580356025131322,0.0199956207327319
"ACOX2",140.378615522832,0.66941497970706,0.149310796450405,4.48336621075766,7.34746757598598e-06,0.000128347195074323
"ACP5",26.5421322183299,0.85878645263642,0.265105495727072,3.239413993592,0.00119775583365917,0.00579604912329875
"ACSL5",508.345119797481,0.698278756507063,0.21095391667661,3.31010093345418,0.000932623343368843,0.00478159401524621
"ACSM1",15.2114000622551,0.994984345029964,0.234976806778523,4.2343938479332,2.29169003423732e-05,0.000292944939812884
"ACTR2",7172.77175802737,-0.619979456599723,0.116642599853928,-5.31520608573646,1.06536682016751e-07,6.22184701575855e-06
"ACVRL1",462.554991532735,0.731970232310593,0.187192865337983,3.91024642413052,9.22020090378312e-05,0.000834506970503722
"ADAM22",3488.0397317408,-0.604544671603117,0.12895632157844,-4.68798011763535,2.75914817046314e-06,6.28639918418322e-05
"ADAM33",752.907130789706,1.27395237085171,0.184266412125618,6.91364397969191,4.72359777939716e-12,5.12817392920253e-09
"ADAMTS2",193.36985046547,0.676518520656747,0.1764131970166,3.83485210912587,0.000125639868252591,0.00104843138330842
"ADAMTS20",3.16313324390238,-1.00521379447155,0.373919489587468,-2.68831612810705,0.00718133737567555,0.0235186091158436
"ADAMTS3",164.361963187865,-0.731328776265106,0.207300897340376,-3.52786112191451,0.000418931889688558,0.00259079126197883
"ADAMTS5",31.3422998632242,-0.698908917903439,0.191117724262534,-3.65695500299786,0.000255229163020604,0.00177110604559488
"ADAMTS9",404.658652703777,1.01118055055301,0.309983134932761,3.26205021048112,0.00110609550047914,0.00546329654274422
"ADAMTSL1",66.9438513957763,-0.775866524866101,0.240236809423153,-3.22959053081449,0.00123967626016643,0.00595906367876771
"ADAMTSL4",109.595582978137,0.705512895983128,0.227429861273752,3.10211197435468,0.00192145263354108,0.0083894029825211
"ADAMTSL5",76.3834806287967,0.775943019098032,0.180983306458809,4.28737342841416,1.80798213387547e-05,0.000244895296773787
"ADCY1",7239.06974718545,-0.625175495738716,0.182704808414613,-3.42177910457617,0.000622128353685128,0.00350955389544432
"ADCY10",35.3743876859299,0.714868260219017,0.179705563855999,3.97799736902889,6.94981405866028e-05,0.000671866930791143
"ADCYAP1",486.934481560033,-1.28976729964485,0.236547383001045,-5.45246911329878,4.96752022988101e-08,3.87984772487074e-06
"ADGRF2",1.94092155049477,-1.47436312391941,0.527622480509402,-2.79435236060443,0.00520037806904036,0.0184021853020002
"ADGRG3",8.53954483182429,1.33300523981864,0.374387320274686,3.56049782572931,0.000370152376363624,0.00234866117708456
"ADGRL4",279.527588576864,0.620201783362997,0.184637593916531,3.35902223489421,0.000782187736216338,0.00417801779002838
"ADH1B",117.596776077255,1.33807045575277,0.401141597782596,3.33565619509237,0.000850983338388639,0.00446187026696316
"ADIPOR2",3952.49104612214,0.605915859876469,0.191777872855598,3.15946699613622,0.00158058001065222,0.00722052046524125
"ADM",350.38111914005,1.45164970563703,0.317435378244825,4.57305582529441,4.80662006206778e-06,9.39389211590258e-05
"ADM2",3.45527037481507,1.14061562302614,0.384151600637161,2.9691809721326,0.0029859468641919,0.0118504595617252
"ADM5",54.0293908207694,0.653150251062801,0.171070288186269,3.81802274367844,0.000134525526288889,0.00110391260480372
"ADPRH",86.0856027526716,0.645709987745837,0.167018033619622,3.86610938802226,0.000110585353008812,0.000954382143128592
"ADRA1D",97.191853134508,-0.690050746886843,0.235730679843013,-2.92728442197846,0.00341936020341706,0.0132414068301756
"ADRB2",73.5212268953823,0.673598482128977,0.151039220528523,4.45975872870565,8.20519681592743e-06,0.000138537665990849
"ADTRP",158.837025450008,-0.785617574103892,0.246214204685396,-3.19078899248615,0.00141884862783626,0.00664383443092706
"AEBP1",2373.55292689429,0.85026931665367,0.257316778292265,3.30436795570291,0.000951908057594842,0.00485752753338585
"AFAP1L1",149.007075274599,0.699873578780878,0.183834843284835,3.80707795255379,0.000140618431728543,0.00113926973807402
"AGBL4",295.393825102802,-0.781272257798372,0.206026477849695,-3.79209636524653,0.000149380922756397,0.00119378283982689
"AGER",188.633510738444,0.731020500343574,0.16076218057713,4.54721687476022,5.43599747255862e-06,0.000102277428121204
"AGTRAP",319.315986517962,0.690591300780543,0.181348255226818,3.80809454117326,0.000140041735417371,0.00113680415373518
"AHNAK",9106.68586872457,0.652430042950884,0.179038142307584,3.64408407360495,0.000268345699882266,0.00183839803267096
"AJUBA",60.5091124149451,0.868771081741936,0.195780795443192,4.43746834195501,9.102310394272e-06,0.000149185977560597
"AKAIN1",15.8101192433683,-0.88030157494974,0.266691391140906,-3.30082486421406,0.000964010378358028,0.00491466479109835
"AKAP11",5394.73685007616,-0.638683246390445,0.122902670254439,-5.19665882822737,2.02902249314956e-07,9.85596541247347e-06
"AKAP5",1109.81608217095,-0.81049514760155,0.208585029083991,-3.8856822618616,0.000102042900525943,0.000899002618976658
"AKR1C1",366.803824946245,0.636854961039959,0.155351116348753,4.0994553242235,4.1412359799785e-05,0.000455542048399259
"AKR1C2",202.911882016152,0.809051044329894,0.193272027477292,4.1860741820228,2.83820623827244e-05,0.00034543706306956
"AKR1C3",325.620699846633,0.675694700532337,0.171853327804684,3.93181039415358,8.43085504703113e-05,0.00077600320320554
"ALB",34.5582173131059,-0.747974668714503,0.21037113613826,-3.55550044766085,0.000377260302502344,0.0023860917414021
"ALKAL2",43.4394594374915,-0.747578742191795,0.211865913139756,-3.5285465751098,0.000417848409896063,0.00258630060549407
