"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PERP",326.88530288312,0.806562890166874,0.19516266162468,4.13277254702535,3.58413371595301e-05,0.00041108736778275
"ATP6V1A",6872.06155726045,-0.67699280019215,0.164392985426556,-4.1181367832425,3.8194797917592e-05,0.000429767012116549
"SPR",447.556876702779,1.15353226871744,0.166042997374043,6.9471901071437,3.72633417398882e-12,4.59288070562789e-09
"CLU",106214.223406174,0.619297057903167,0.1204309496101,5.14234139901885,2.71335474976413e-07,1.20125698884436e-05
"P4HA1",854.75175903686,0.859513387923218,0.167327389143324,5.13671666260807,2.7957998448832e-07,1.22885024356172e-05
"G0S2",130.206868738776,2.43150638480957,0.290548255000411,8.36868349047949,5.82655200575542e-17,2.53023847401935e-13
"HIF3A",2033.2504378537,1.20878388186287,0.234388114533655,5.15718932364767,2.50684302892641e-07,1.14833507778648e-05
"BFSP1",107.210508361634,-0.608232938397869,0.138611032907122,-4.38805573871902,1.14368468716962e-05,0.000176494851545941
"RIPK3",26.2428133149374,0.700525447283649,0.202581563895779,3.45799209864943,0.000544217345029688,0.00319022440945724
"MACROD1",504.099890547695,0.615812830933905,0.109411153553133,5.62842828117018,1.8185908720843e-08,1.97435318027832e-06
"ECHDC3",42.1067312541788,0.747705269580559,0.189323052292945,3.9493620059728,7.83597691120632e-05,0.00073172068248325
"CYP27A1",1451.40820395682,0.670019690427382,0.228648803219695,2.93034418283659,0.0033858675191334,0.0131421775908015
"MGARP",58.3281253989396,0.604396166062102,0.165702268201746,3.64748275700268,0.000264822077285263,0.00181964612787814
"CASP1",135.660882082638,1.04238003240022,0.201235597374449,5.17989881512174,2.22006289546288e-07,1.05711021160495e-05
"ABCC12",177.370594062878,-0.865520064934789,0.251569895621344,-3.44047550998529,0.000580692986255791,0.00332943934791972
"CTU1",170.798409397077,0.602097656778523,0.155073694294521,3.88265501455714,0.000103322107106065,0.000906803925462407
"SLC25A48",466.881732101902,1.03783112566031,0.193869516592081,5.35324554320727,8.63904910387045e-08,5.53332369298936e-06
"GNRH1",103.163469755016,0.666856713751752,0.143150880138779,4.658418537876,3.18647853269956e-06,7.00694005416203e-05
"GSDMC",4.97696579001779,-1.16023296099774,0.441973993227965,-2.62511590902433,0.00866194747977653,0.0274124567305623
"CDKN2A",71.7452067903253,0.646538642488782,0.207497482663649,3.11588668059562,0.00183392731933172,0.00808928963369885
"SPHKAP",657.853146790929,-1.09823909460443,0.237289544867563,-4.62826583959857,3.68740484728698e-06,7.76572467983922e-05
"MICU3",1909.13816833137,-0.709638169499804,0.165079285283395,-4.29877175856166,1.71747223829337e-05,0.000236505242778061
"NAGS",54.3801239234238,0.867410739487526,0.173731331871709,4.99282846762529,5.95013997607908e-07,2.13506311134427e-05
"LRP5",344.670467991305,0.662679065549966,0.162324974543582,4.08242211288347,4.45687511250201e-05,0.000482938263788112
"OXR1",4780.61477510443,-0.85769550475958,0.193072868775577,-4.44234091614675,8.89854209954113e-06,0.000146707702814986
"GPER1",351.447831682263,0.992950643108119,0.146724329505289,6.76745735663645,1.31065262303841e-11,1.13832801616132e-08
"TMEM65",869.418267386009,-0.619132739583941,0.146450573945333,-4.22758834536934,2.36209440764143e-05,0.000299755440520855
"VASN",547.006278059521,0.603546220858977,0.166210355293146,3.63121912467187,0.000282085547261711,0.00190866571937217
"DDIT4",1865.22998305434,1.43850351788324,0.208417790322025,6.90201885194454,5.12686294406955e-12,5.30093214783724e-09
"TAP1",638.886541495652,0.617312923595241,0.145472533338382,4.24350156987585,2.20058832746784e-05,0.000284074758349044
"GPRC5C",328.983827324296,0.61831435719971,0.154510723279905,4.00175692712017,6.28738725612475e-05,0.000623370043343547
"PRKCE",3820.50079814027,-0.638673857990057,0.162378074741851,-3.93325181989886,8.38043606986163e-05,0.000772190278564342
