"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LINC00582",1.59997155608341,1.39619103315653,0.773728496798557,1.80449736429966,0.0711533719811202,NA
"TRIM11",435.95258268927,0.0419035067516226,0.189812155561931,0.220763030837351,0.825276950483862,0.914274721565967
"TSNAX-DISC1",1.30704362378273,-0.14040521735636,0.711951495036831,-0.197211774025556,0.843661817210264,NA
"LOC100130331",4.86077633541836,-1.54607026471238,0.558650855149753,-2.76750720143073,0.00564867974654864,0.0578317212146646
"RGS7",530.62131233404,-0.658828499412848,0.177180461212742,-3.71840379522316,0.000200485617390244,0.00764657406103323
"MTR",1434.1793793757,-0.278343697861196,0.13373283798357,-2.08134144207268,0.0374026644457552,0.166858866790167
"LYST",1726.30494934777,0.0545180954152234,0.12713774694575,0.42881124390608,0.668060595553413,0.818349704567778
"KIF26B",553.756036567082,0.0858316440916569,0.16686863542504,0.51436654871079,0.606995742123957,0.778721469118795
"SMYD3",266.921246316373,-0.288451157377074,0.13827967264403,-2.08599826613437,0.0369787801208751,0.165954908418517
"ZNF496",684.662895793804,-0.0432593629797775,0.113268334941111,-0.381919298118654,0.702521225559013,0.838360307004533
"OR14C36",1.63791312596484,-0.218743998143726,0.695305961003696,-0.314601068323881,0.753064567919869,NA
"LINC01128",409.949427992607,-0.152205973183125,0.12535818191513,-1.21416863947638,0.224683333312226,0.461197924825441
"AURKAIP1",678.620864336228,-0.238095824076277,0.146492230091465,-1.62531366972581,0.104095740203448,0.298243805734703
"NADK",555.612971165004,0.113855721513452,0.132336713196931,0.860348717774358,0.389596845365213,0.619664598085076
"CDK11B",300.510011701429,0.234851685207543,0.130820740087951,1.79521752475679,0.0726190493868611,0.244246590023819
"FAM132A",21.3271337567078,-0.512712156850982,0.328874714716795,-1.55898928652054,0.11899891588557,0.320956160779972
"TNFRSF14",159.290875279085,-0.197985501529713,0.227153688654181,-0.87159272078177,0.383430603174661,0.613977674232768
"TTC34",29.2569395769893,0.0775845253686814,0.267551713682592,0.289979549376848,0.771831882971308,0.882537215145351
