"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AGBL4",175.612657426663,-0.660870620873134,0.212220535973749,-3.11407478942039,0.00184522710519163,0.0306875688028481
"SLC45A1",255.020106103628,-0.627502636469199,0.162219593434516,-3.86822962124182,0.000109628406091336,0.00529236205795096
"CLCA4",90.3866579943735,1.4101492623243,0.434538325522569,3.24516660441511,0.0011738192578186,0.0230075193813975
"PKN2-AS1",17.0738683494624,-1.02125360235696,0.246495065100132,-4.14309958676902,3.42643064295106e-05,0.00257971881078499
"PTGS2",88.9047987733139,-0.740662211771704,0.237840063834576,-3.1141187898724,0.00184495194197791,0.0306875688028481
"RGS7",530.62131233404,-0.658828499412848,0.177180461212742,-3.71840379522316,0.000200485617390244,0.00764657406103323
"RHCE",13.8634620548949,-0.688369613615032,0.238540305661828,-2.88575807641881,0.00390472178061175,0.0472660572091877
"RCC1",134.045022687452,0.917985978974413,0.21883231225287,4.19492884539666,2.72957261143688e-05,0.00220640452757814
"COL8A2",87.4516192180532,0.991262531949707,0.282523330519424,3.50860415714077,0.000450464809377211,0.0132689881349742
"CFAP57",27.3389137938036,-0.737397912349324,0.207281328650828,-3.55747387933572,0.000374438320886871,0.0117781465793299
"ERI3-IT1",79.1553602412939,1.00514092222343,0.18945872151728,5.3053293834866,1.1246972197923e-07,5.7208684192118e-05
"CYP4X1",164.37953686433,-0.63749431769667,0.198541690894032,-3.2108838945918,0.00132327387816457,0.0248173351880594
"COL24A1",427.316475661542,-0.739290464666957,0.241461118421081,-3.06173710078538,0.00220056634088613,0.0341362097677028
"GBP4",182.590163824318,-1.2269989469447,0.403794469234128,-3.03867199883132,0.00237623415992895,0.0358117851661828
"BCAR3",403.132242473337,0.603885031790452,0.191717849810539,3.14986336633354,0.00163346836954368,0.0283883190390279
"OLFM3",442.44049548222,-1.06423528883813,0.290641469932243,-3.6616773548738,0.000250569305162467,0.00896333252000557
"FMO5",100.323901502847,0.769571489624512,0.190902487248905,4.03122819778205,5.54861379893586e-05,0.0034259967837359
"NUP210L",93.0462032524802,1.03303120466974,0.354430026573869,2.91462666031892,0.00356114269978048,0.0450167508366085
"IQGAP3",33.78919930461,-1.19132572396914,0.349763509968615,-3.40608922890795,0.000659006369908783,0.0166426726954896
"CD244",6.81903652809424,-1.18558421480869,0.35855780919114,-3.30653575077117,0.000944572961984888,0.0201216232095964
"MAEL",28.4427900067772,-0.742734375418318,0.238685059956381,-3.11177572468948,0.00185965720679331,0.0308633329535241
"LHX4",35.794753788223,0.685287839395222,0.193380991901784,3.5437187112127,0.000394525927063198,0.0121175820455125
"NMNAT2",2384.32694060908,-0.743840401806626,0.240266208212594,-3.09590103136124,0.00196215840300526,0.0319943811529904
"KMO",20.9118569924354,-1.00658392010248,0.298879536493625,-3.36785827464622,0.000757545273402144,0.0178717270099567
"LOC339529",18.6971087032001,-0.908834136014912,0.284759680202546,-3.19158293536666,0.00141495482419335,0.0258338328045049
"SAMD11",61.9035587224184,1.15675365653764,0.349793469997763,3.30696183820995,0.000943137395537559,0.0201174571186666
"HES4",194.515926752755,-0.75496472419036,0.214217306335002,-3.52429379823176,0.000424613158030432,0.0127231428315009
"ATAD3C",76.927416378903,1.15812517744293,0.281131362994626,4.11951610487894,3.79668888681887e-05,0.00269319546716352
"CDK11A",105.594904466556,0.859688507963743,0.20598636358392,4.1735214555283,2.99927401283922e-05,0.00237832165542821
"HES5",104.763734631596,-1.83745086881336,0.377457868656956,-4.86796281489972,1.12754539178646e-06,0.000293936989321332
"LINC00982",447.176542891105,-0.640563441999642,0.2161081946832,-2.96408677578684,0.00303582665917446,0.0413264784445713
"ARHGEF16",36.2437913806059,0.672783813649313,0.218223215962542,3.08300750991039,0.00204919983538635,0.0327228656715026
"LINC01134",6.1280635984632,1.97660211812212,0.553021486907976,3.57418683525949,0.000351318011609303,0.0113416983469226
"PLOD1",928.112937143921,0.614692669671937,0.180547537236478,3.40460290447951,0.000662603298206212,0.0166428001705375
"HSPB7",40.958513663291,0.992766126133997,0.263941992819977,3.7613041999388,0.000169029709867261,0.00682513486100921
"CROCC",1351.51799134295,0.781852495096199,0.260863441555974,2.99717158691413,0.00272497289049062,0.0390043305636115
"HTR6",89.5729072202656,-0.756686702133065,0.252953080029801,-2.99141130064089,0.00277691197020502,0.0394381297648409
"KIF17",355.356717886127,-0.78222076171783,0.217042214776726,-3.60400285503219,0.000313353610766605,0.0103238381556675
"SH2D5",709.890889819832,-1.07504997587445,0.253208146615102,-4.24571638095286,2.17896112230179e-05,0.00193304938616853
"LDLRAP1",400.756922815006,1.34475232070679,0.363306163905106,3.70142996268577,0.000214387835608704,0.00803858952073229
"EXTL1",967.211866360012,-0.613585153914043,0.198222952786613,-3.09542939043274,0.00196528159367337,0.0320163693135904
"LOC101928324",22.9253320801133,0.742133375571583,0.25313670699464,2.93174934754641,0.0033705866523608,0.0438239305704392
"SFN",42.1814987687273,-2.97187733473452,0.764484838404756,-3.88742481922325,0.000101313352236915,0.00499058226833105
"GPR3",21.3674750174666,-0.835442021947886,0.211654144605835,-3.94720369640639,7.90692819619513e-05,0.00429521166134421
"TSSK3",94.9447341154315,0.823632913556626,0.229690144526303,3.58584350780583,0.00033599040926604,0.0108974805369258
"HPCA",1058.98401069314,-0.773614360865064,0.261777811598503,-2.95523274543826,0.00312433254751976,0.0420845133343056
"C1orf94",9.10077687131281,-1.45908503630505,0.409607220844843,-3.56215652960312,0.000367820959611441,0.0117292142395972
"GJB5",20.829488207641,-0.90694592072298,0.264099036952612,-3.43411294182687,0.000594496434933984,0.0155468492401102
